ID,exam_sdate,mean_mes_Score,mean_mes_Z_Score,mean_mes_T_Score,median_mes_Score,median_mes_Z_Score,median_mes_T_Score,mes_sub_name
1,2017/1/13,82.92857143,-0.071553376,79.42757321,77.5,0.077938935,80.623515,语文
2,2017/1/13,86.98809524,0.138650486,81.10920429,79,0.2836074,82.26886,数学
3,2017/1/13,99,-0.370525168,77.03579786,89.5,-0.2835309,77.731755,英语
4,2017/1/13,71.63095238,0.222007007,81.77605536,72.5,0.26477795,82.11822,物理
5,2017/1/13,74.83333333,0.268059953,82.14447976,76,0.3075981,82.46078,化学
6,2017/1/13,74.11904762,-0.222418774,78.22065012,75.5,-0.11079881,79.11361,生物
7,2017/1/13,66.3452381,-0.318137922,77.45489738,68,-0.2356616,78.11471,历史
8,2017/1/13,76.46428571,0.011795369,80.09436333,77,0.1736763,81.38941,地理
9,2017/1/13,72.54761905,-0.281737419,77.7461006,74,-0.096877015,79.224985,政治
10,2017/4/20,72.07142857,-0.274101969,77.80718476,72,-0.277269,77.78185,语文
11,2017/4/20,72.38095238,0.017518739,80.14014929,77,0.4952162,83.96173,数学
12,2017/4/20,74.78571429,-0.354607121,77.1631431,78,-0.068561845,79.451505,英语
13,2017/4/20,58.64285714,0.106080425,80.81804071,57.5,0.02357946,80.18864,物理
14,2017/4/20,68.52380952,0.048079034,80.38463238,69.5,0.15790223,81.26322,化学
15,2017/4/20,72.30952381,-0.078122393,79.37502119,77.5,0.38472275,83.07778,生物
16,2017/4/20,62.57142857,-0.247396603,78.02082786,64.5,-0.055838663,79.553295,历史
17,2017/4/20,64.47619048,-0.092530965,79.25975214,64,-0.1444966,78.84402,地理
18,2017/4/20,64.73809524,-0.418401608,76.65278738,66,-0.2842615,77.72591,政治
19,2017/6/28,63.26190476,0.007018996,80.05615262,62.5,0.02423496,80.19388,语文
20,2017/6/28,69.98809524,-0.045870114,79.63303929,73,0.1588973,81.27118,数学
21,2017/6/28,76.92857143,-0.147467143,78.8202619,78,-0.03774679,79.69803,英语
22,2017/6/28,61.92857143,0.065104248,80.52083381,63,0.1540867,81.23269,物理
23,2017/6/28,62.61904762,-0.037025628,79.70379631,65,0.06477602,80.51821,化学
24,2017/6/28,69.1547619,-0.06393537,79.48851714,70,-0.04482272,79.64142,生物
25,2017/6/28,66.33333333,-0.34254313,77.25965369,67,-0.4072414,76.74207,历史
26,2017/6/28,68.11904762,-0.030662167,79.75470226,67,-0.108819625,79.12944,地理
27,2017/6/28,67.79761905,-0.211072666,78.31141929,69,-0.1333139,78.93349,政治
28,2017/11/15,69.125,-0.240029526,78.0797635,69,-0.2552302,77.95816,语文
29,2017/11/15,70.025,0.171863241,81.374905,71,0.2449585,81.95967,数学
30,2017/11/15,70,-0.429192854,76.56645725,71.5,-0.2880828,77.69534,英语
31,2017/11/15,67.21428571,-0.002520356,79.97983607,66,-0.10284373,79.17725,物理
32,2017/11/15,70.44444444,0.28237744,82.25902074,74,0.5297295,84.23784,化学
33,2017/11/15,76.225,-0.154206324,78.76634875,77,-0.07477937,79.40176,生物
34,2017/11/15,66,-0.158625295,78.73099667,65.5,-0.199984636,78.400125,历史
35,2017/11/15,60.57142857,-0.157555098,78.73955929,61,-0.115993135,79.072055,地理
36,2017/11/15,67.975,-0.071487364,79.4281015,67.5,-0.12136576,79.029075,政治
37,2018/1/23,78.19512195,-0.106495771,79.14803341,80,0.1216329,80.97306,语文
38,2018/1/23,81.19512195,0.262078573,82.09662951,83,0.4843149,83.87452,数学
39,2018/1/23,75.58536585,-0.447735742,76.41811463,77,-0.2727891,77.81769,英语
40,2018/1/23,77,-0.14399563,78.84803536,78,-0.02298522,79.81612,物理
41,2018/1/23,80.40740741,0.209626257,81.67701074,83,0.5231196,84.18496,化学
42,2018/1/23,77.19512195,-0.295210439,77.63831634,77,-0.3195439,77.44365,生物
43,2018/1/23,79.71428571,0.010262514,80.08209857,78,-0.2040187,78.36785,历史
44,2018/1/23,76,-0.389873455,76.88101133,76,-0.3898735,76.88101,地理
45,2018/1/23,76.09756098,-0.458881142,76.32895,75,-0.5961637,75.23069,政治
46,2018/1/26,92.73809524,-0.594201806,75.24638714,96,-0.3028639,77.57709,语文
47,2018/1/26,90.73809524,-0.059350767,79.52519429,94.5,0.15275955,81.222075,数学
48,2018/1/26,107.5952381,-0.592199886,75.26240143,111,-0.3602554,77.11796,英语
49,2018/1/26,57.51724138,-0.533861576,75.72910724,56,-0.6613382,74.7093,物理
50,2018/1/26,68.46428571,-0.165490288,78.67607857,75,0.3762025,83.00962,化学
51,2018/1/26,60.67073171,-0.23072706,78.15418293,59,-0.01269855,79.89841,生物
52,2018/1/26,59.42857143,-0.637669471,74.89864429,64,-0.9625438,72.29965,历史
53,2018/1/26,54.875,-0.787056856,73.70354625,58.5,-0.5574521,75.540385,地理
54,2018/1/26,61.53658537,-0.411639539,76.70688244,62,-0.2938623,77.6491,政治
55,2018/6/24,100.5121951,-0.20347414,78.37220707,100.5,-0.2050515,78.35959,语文
56,2018/6/24,85.56097561,0.03805054,80.30440415,91,0.3121332,82.49706,数学
57,2018/6/24,102.0625,-0.420322624,76.63742,103.5,-0.2795147,77.76389,英语
58,2018/6/24,70.96428571,0.010251879,80.08201429,71.5,0.063483195,80.507865,物理
59,2018/6/24,79.85185185,0.317454726,82.53963667,85,0.7124465,85.69957,化学
60,2018/6/24,70.33333333,-0.343327248,77.25338143,71.5,-0.2299265,78.16059,生物
61,2018/6/24,72,-0.605113373,75.159095,72.5,-0.54322675,75.65419,历史
62,2018/6/24,66.64285714,-0.53694605,75.70443143,65.5,-0.6750012,74.59999,地理
63,2018/6/24,63.85714286,0.155153129,81.24122286,67,0.4885375,83.9083,政治
64,2018/7/1,78.70731707,-0.047980618,79.61615707,80,0.109968,80.87975,语文
65,2018/7/1,78.36585366,0.039620311,80.3169639,79,0.1273349,81.01868,数学
66,2018/7/1,75.7804878,-0.427360773,76.58111171,76,-0.3998232,76.80141,英语
67,2018/7/1,78.85714286,0.018236809,80.14589286,79.5,0.09726263,80.7781,物理
68,2018/7/1,80.14814815,0.22685131,81.81480889,82,0.4554136,83.64331,化学
69,2018/7/1,76.28571429,-0.304790786,77.56167238,77,-0.2141823,78.28654,生物
70,2018/7/1,75.14285714,-0.539224529,75.68620429,78,-0.1801741,78.55861,历史
71,2018/7/1,73.8,-0.687859608,74.49712333,73,-0.79409,73.64728,地理
72,2018/7/1,79.57142857,0.011153917,80.08923,80,0.06449842,80.51598,政治
